,Unnamed: 0,Title,Year,Age,IMDb,Rotten Tomatoes,Netflix,Hulu,Prime Video,Disney+,type
3604,3604,Californication,2007,18+,8.3,57%,0,0,1,0,1
3605,3605,Homecoming,2018,16+,7.5,98%,0,0,1,0,1
3606,3606,Flight of the Conchords,2007,16+,8.5,94%,0,0,1,0,1
3607,3607,Entourage,2004,16+,8.4,66%,0,0,1,0,1
3608,3608,Sneaky Pete,2015,18+,8.2,96%,0,0,1,0,1
3609,3609,Downton Abbey,2010,16+,8.7,,0,0,1,0,1
3610,3610,Undone,2019,18+,8.2,100%,0,0,1,0,1
3611,3611,Generation Kill,2008,18+,8.5,86%,0,0,1,0,1
3612,3612,Humans,2015,16+,8.0,94%,0,0,1,0,1
3613,3613,Farscape,1999,16+,8.2,90%,0,0,1,0,1
3614,3614,Monk,2002,7+,7.9,90%,0,0,1,0,1
3615,3615,The Thick of It,2005,18+,8.7,85%,0,0,1,0,1
3616,3616,The Missing,2014,16+,8.2,93%,0,0,1,0,1
3617,3617,Carnival Row,2019,18+,7.9,57%,0,0,1,0,1
3618,3618,Eastbound & Down,2009,18+,8.2,91%,0,0,1,0,1
3619,3619,Father Ted,1995,16+,8.6,93%,0,0,1,0,1
3620,3620,The Mentalist,2008,16+,8.1,,0,0,1,0,1
3621,3621,Poldark,2015,16+,8.3,87%,0,0,1,0,1
3622,3622,Goliath,2016,16+,8.2,82%,0,0,1,0,1
3623,3623,Girls,2012,18+,7.3,89%,0,0,1,0,1
3624,3624,Catastrophe,2015,18+,8.2,98%,0,0,1,0,1
3625,3625,John Adams,2008,16+,8.5,81%,0,0,1,0,1
3626,3626,River,2015,7+,8.0,100%,0,0,1,0,1
3627,3627,Sex and the City,1998,18+,7.1,71%,0,0,1,0,1
3628,3628,The Lost Room,2006,7+,8.2,77%,0,0,1,0,1
3629,3629,Escape at Dannemora,2018,18+,8.0,89%,0,0,1,0,1
3630,3630,Tales from the Loop,2020,16+,7.5,68%,0,0,1,0,1
3631,3631,Modern Love,2019,18+,8.0,75%,0,0,1,0,1
3632,3632,Boss,2011,18+,8.1,81%,0,0,1,0,1
3633,3633,Mozart in the Jungle,2014,18+,8.2,94%,0,0,1,0,1
3634,3634,SpongeBob SquarePants,1999,7+,8.1,,0,0,1,0,1
3635,3635,Hanna,2019,16+,7.5,67%,0,0,1,0,1
3636,3636,The Durrells,2016,7+,8.1,98%,0,0,1,0,1
3637,3637,Gavin & Stacey,2007,16+,8.1,97%,0,0,1,0,1
3638,3638,Angels in America,2003,18+,8.2,90%,0,0,1,0,1
3639,3639,Defiance,2013,18+,7.0,77%,0,0,1,0,1
3640,3640,The Addams Family,1964,all,7.9,100%,0,0,1,0,1
3641,3641,Patrick Melrose,2018,18+,8.1,90%,0,0,1,0,1
3642,3642,Treme,2010,18+,8.2,96%,0,0,1,0,1
3643,3643,Hunters,2020,18+,7.2,64%,0,0,1,0,1
3644,3644,Red Oaks,2014,18+,7.9,93%,0,0,1,0,1
3645,3645,The Family Man,2019,16+,8.6,,0,0,1,0,1
3646,3646,ZeroZeroZero,2020,18+,8.2,80%,0,0,1,0,1
3647,3647,The Tick,2016,18+,7.4,95%,0,0,1,0,1
3648,3648,Patriot,2015,18+,8.3,90%,0,0,1,0,1
3649,3649,The Planets,2019,all,9.1,100%,0,0,1,0,1
3650,3650,Strike Back,2010,18+,8.2,,0,0,1,0,1
3651,3651,In Treatment,2008,18+,8.3,88%,0,0,1,0,1
3652,3652,Bored to Death,2009,18+,7.9,79%,0,0,1,0,1
3653,3653,Animal Kingdom,2016,18+,8.2,,0,0,1,0,1
3654,3654,Eureka,2006,7+,7.9,,0,0,1,0,1
3655,3655,Mr. Show with Bob and David,1995,18+,8.3,100%,0,0,1,0,1
3656,3656,Mildred Pierce,2011,18+,7.7,80%,0,0,1,0,1
3657,3657,MacGyver,1985,7+,7.7,,0,0,1,0,1
3658,3658,House of Lies,2012,18+,7.4,77%,0,0,1,0,1
3659,3659,Transparent,2014,18+,7.8,90%,0,0,1,0,1
3660,3660,Endeavour,2012,16+,8.6,86%,0,0,1,0,1
3661,3661,"Eerie, Indiana",1991,7+,8.2,100%,0,0,1,0,1
3662,3662,Fortitude,2015,18+,7.4,84%,0,0,1,0,1
3663,3663,BrainDead,2016,16+,8.1,65%,0,0,1,0,1
3664,3664,A Very English Scandal,2018,16+,7.7,95%,0,0,1,0,1
3665,3665,Victoria,2016,16+,8.2,87%,0,0,1,0,1
3666,3666,Philip K. Dick's Electric Dreams,2017,18+,7.3,72%,0,0,1,0,1
3667,3667,Big Love,2006,18+,7.5,80%,0,0,1,0,1
3668,3668,Carnivàle,2003,18+,8.4,,0,0,1,0,1
3669,3669,Harper's Island,2009,16+,7.5,64%,0,0,1,0,1
3670,3670,ALF,1986,all,7.4,,0,0,1,0,1
3671,3671,Ordeal by Innocence,2018,,7.3,91%,0,0,1,0,1
3672,3672,Salvation,2017,16+,7.0,44%,0,0,1,0,1
3673,3673,The Tunnel,2013,18+,7.8,91%,0,0,1,0,1
3674,3674,"Magnum, P.I.",1980,7+,7.5,,0,0,1,0,1
3675,3675,Undercover,2011,7+,8.9,,0,0,1,0,1
3676,3676,Extant,2014,16+,6.6,77%,0,0,1,0,1
